connection_type,correspondent,date,reformatted_date,from,to,location,full_text,source,index_topic_shapiro,index_person_shapiro,index_shapiro_texts,,,,,
correspondence,"Descartes, René",11/29/1646,"November 29, 1646",Princess Elisabeth,"Descartes, René",Berlin,Y,Shapiro 150-2; Bennett 53-4,"Bohemia, House of; chemists; contentment (of mind); Elisabeth, Princess of Bohemia: health of; felicity, and fortune; Fortune;  good(s); ","Brunswick-Lunenburg, Duke of;",,,,,,
correspondence,"Descartes, René",12/??/1646,December 1646,"Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 152-4; Bennett 54-5,"bleeding as remedy; blood: circulation of; chemists; Descartes, René: on his critics; Descartes, René: on the Jesuits; Descartes, René: on the scholastics; Elisabeth, Princess of Bohemia: health of; ","Brunswick-Lunenburg, Duke of; ",,,,,,
correspondence,"Descartes, René",02/21/1647,"February 21, 1647",Princess Elisabeth,"Descartes, René",Berlin,Y,Shapiro 155-6; Bennett 56,"bleeding as remedy; blood: circulation of; contentment (of mind); Elisabeth, Princess of Bohemia: health of; Elisabeth, Princess of Bohemia: travel to/from Berlin; friendship; will: of men; ","Bacon, Francis; ",,,,,,
correspondence,"Descartes, René",03/??/1647,March 1647,"Descartes, René",Princess Elisabeth,The Hague,Y,Shapiro 156-8; Bennett 56-7,"animal spirits; animals: description of; brain, and animal spirits; Descartes, René: travel to/from France; Elisabeth, Princess of Bohemia: health of; friendship; ",,,,,,,
correspondence,"Descartes, René",04/11/1647,"April 11, 1647",Princess Elisabeth,"Descartes, René",Berlin,Y,Shapiro 158-9; Bennett 58,"bleeding as remedy; Descartes, René: travel to/from France; Elisabeth, Princess of Bohemia: health of; ","Brandenburg, Electress of; ",,,,,,
correspondence,"Descartes, René",05/10/1647,"May 10, 1647","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 159-62; Bennett 58-60,"blasphemy; Descartes, René: on his critics; Descartes, René: on his health; Descartes, René: on living in the Netherlands; Descartes, René: on the scholastics; Descartes, René: travel to/from France; God: existence of; Utrecht, University of; ","Triglandius, Jacobus; ",,,,,,
correspondence,"Descartes, René",05/??/1647,May 1647,Princess Elisabeth,"Descartes, René",Crossen,Y,Shapiro 162-3; Bennett 60-1,"body, human: union with soul/mind; Descartes, René: on living in the Netherlands; freedom, of speech; Westphalia, Peace of (Treaties of Munster); God: existence of; good(s), of the body versus of the soul; union of mind and body; ","Triglandius, Jacobus; ",,,,,,
correspondence,"Descartes, René",06/06/1647,"June 6, 1647","Descartes, René",Princess Elisabeth,The Hague,Y,Shapiro 164-5; Bennett 61,"contentment (of mind); Descartes, René: travel to/from France; ","Chanut, Hector-Pierre; Christina (queen of Sweden);",,,,,,
correspondence,"Descartes, René",11/20/1647,"November 20, 1647","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 165-7; Bennett 62,"Descartes, René: forwarding of correspondence with Elisabeth to Queen Christina; ","Chanut, Hector-Pierre; Christina (queen of Sweden); ",,,,,,
correspondence,"Descartes, René",12/05/1647,"December 5, 1647",Princess Elisabeth,"Descartes, René",Berlin,Y,Foucher 59-60; Shapiro 167-8; Bennett 62-3,friendship; ,"Gassendi, Pierre; ",Treatise on Erudition; ,,,,,
correspondence,"Descartes, René",12/23/1647,"December 23, 1647",Princess Elisabeth,"Descartes, René",,N,Shapiro footnote 181,letter is lost--Karen add here,,,,,,,
correspondence,"Descartes, René",01/31/1648,"January 31, 1648","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 168-9; Bennett 63-4,"animals: description of; body, human: disorders of; body, human: formation of; Descartes, René: travel to/from France; ",Christina (queen of Sweden);,Comments on a Certain Broadsheet; Description of the Human Body and Forma- tion of the Fetus; Treatise on Erudition; ,,,,,
correspondence,"Descartes, René",05/07/1648,"May 7, 1648","Descartes, René",Princess Elisabeth,,N,Shapiro 170,letter is lost--Karen add here,,,,,,,
correspondence,"Descartes, René",06/30/1648,"June 30, 1648",Princess Elisabeth,"Descartes, René",Crossen,Y,Shapiro 170-1; Bennett 64,"bleeding as remedy; Elisabeth, Princess of Bohemia: possible travel to Sweden; English Civil War; Westphalia, Peace of (Treaties of Munster); ",,,,,,,
correspondence,"Descartes, René","06/??/1648, 07/??/1648","June or July, 1648","Descartes, René",Princess Elisabeth,Paris,Y,Shapiro 171-2; Bennett 64,"contentment (of mind); Descartes, René: travel to/from France; ",,,,,,,
correspondence,"Descartes, René",07/??/1648,July 1648,Princess Elisabeth,"Descartes, René",Crossen,Y,Shapiro 172-3; Bennett 64-5,"attention, diversion of; Bohemia, House of; conscience; Descartes, René: travel to/from France; Elisabeth, Princess of Bohemia: possible travel to Sweden; Fortune; freedom; ",,,,,,,
correspondence,"Descartes, René",08/23/1648,"August 23, 1648",Princess Elisabeth,"Descartes, René",Crossen,Y,Shapiro 173-4; Bennett 64-5,"bleeding as remedy; Chanut, Hector-Pierre; Christina (queen of Sweden); Elisabeth, Princess of Bohemia: possible travel to Sweden; English Civil War; good(s), common/general/public/of whole; ",,,,,,,
correspondence,"Descartes, René",10/??/1648,October 1648,"Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 174-5; Bennett 66-7,"analogy/analogies: monarchs of Europe to ships in a tempest; Descartes, René: on living in the Netherlands; Descartes, René: travel to/from France; felicity; ","Chanut, Hector-Pierre; ",,,,,,
correspondence,"Descartes, René",02/22/1649,"February 22, 1649","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 176-8; Bennett 66-7," animal spirits; brain; conscience; Elisabeth, Princess of Bohemia: health of; English Civil War; Fortune; war, restitution of state after; Westphalia, Peace of (Treaties of Munster); glory; ","Charles I (king of England), Charles Louis (Karl Ludwig, prince of Bohemia); Christina (queen of Sweden);",,,,,,
correspondence,"Descartes, René",03/31/1649,"March 31, 1649","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 178-9; Bennett 69,"Descartes, René: visit to Sweden; ",Christina (queen of Sweden); ,,,,,,
correspondence,"Descartes, René",06/??/1649,June 1649,"Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 179-80; Bennett 69,"Descartes, René: visit to Sweden; ","Chanut, Hector-Pierre; Christina (queen of Sweden); ",,,,,,
correspondence,"Descartes, René",10/09/1649,"October 9, 1649","Descartes, René",Princess Elisabeth,Stockholm,Y,Shapiro 180-1; Bennett 70,"Descartes, René: on his solitude; Descartes, René: visit to Sweden; ","Christina (queen of Sweden); Freinsheim, Johan; ",,,,,,
correspondence,"Descartes, René",12/04/1649,"December 4, 1649",Princess Elisabeth,"Descartes, René",,Y,Shapiro 181-2; Bennett 70,"Descartes, René: visit to Sweden; ",Christina (queen of Sweden); ,,,,,,
correspondence,Duke Friedrich Ludwig of Zweibrucken,??/??/????,n.d.,Princess Elisabeth,Duke Friedrich Ludwig of Zweibrucken,,N,Godfrey 284-5,,,,,,,,
correspondence,Duke of York,??/??/1679,c. 1679,Princess Elisabeth,Duke of York,,N,Webb 344,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",10/03/1635; 10/13/1635,"Oct. 3/13, 1635",Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Rhenen,Y,Godfrey 65,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",09/??/1652; 10/??/1652; 11/??/1652,Autumn 1652,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Heidelberg,Y excerpt,Godfrey 253,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",02/??/1653,February 1653,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Heidelberg,N,Godfrey 262,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",06/??/1653; 07/??/1653; 08/??/1653,1653 summer,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Augsburg,Y excerpt,Godfrey 271-2,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",??/??/????,1654?,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",,Y excerpt,Godfrey 273,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",??/??/1659,1659,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",,Y,Godfrey 288-90,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",??/??/1659,1659,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",,N,Godfrey 290,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",03/22/1660,"March 22, 1660","Elizabeth Louise of Zweibrucken, Abbess of Herford",Princess Elisabeth,,N,Godfrey 291,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",04/07/1660; 04/17/1660,"April 7/17, 1660",Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Krossen,Y excerpt,Godfrey 291,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",04/??/1660; 05/??/1660,April/May 1660,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Krossen,Y excerpt,Godfrey 291-292,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",05/??/1660,May 1660,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Krossen,Y,Godfrey 284,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",10/??/1660,October 1660,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Duke of Zweibrucken,her brother,N,Godfrey 293,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",11/??/1660,November 1660?,"Elizabeth Louise of Zweibrucken, Abbess of Herford",Princess Elisabeth,,N,Godfrey 293,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",11/??/1660,November 1660,Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",,N,Godfrey 293,,,,,,,,
correspondence,"Elizabeth Louise of Zweibrucken, Abbess of Herford",11/28/1660; 12/08/1660,"Nov. 28 / Dec. 8, 1660",Princess Elisabeth,"Elizabeth Louise of Zweibrucken, Abbess of Herford",,Y,Godfrey 293-5,,,,,,,,
correspondence,"Fabritius, J. Ludwig",01/09/1670,"Jan. 9, 1670",Princess Elisabeth,"Fabritius, J. Ludwig",Herford,Y,Alexandrescu 18.,,,,,,,,
correspondence,"Fox, George",??/??/????,n.d.,"Fox, George",Princess Elisabeth,,Y,Hodgkin 257-8,,,,,,,,
correspondence,"Fox, George",08/300/1677,"Aug. 30, 1677",Princess Elisabeth,"Fox, George",,Y,Hodgkin 258,,,,,,,,
correspondence,"Fox, George",??/??/????,n.d.,Princess Elisabeth,"Fox, George",,Y,Godfrey 321;Careil;Blaze de Bury 373,,,,,,,,
correspondence,"Frederick William, Great Elector",08/21/1670,"Aug. 21, 1670",Princess Elisabeth,"Frederick William, Great Elector",,Y,Blaze de Bury 331-3;Godfrey 309-10,,,,,,,,
correspondence,"Frederick William, Great Elector",09/06/1670,"Sep. 6, 1670","Frederick William, Great Elector",Princess Elisabeth,,N,Blaze de Bury 333,,,,,,,,
correspondence,"Frederick William, Great Elector",11/06/1670,"Nov. 6, 1670",Princess Elisabeth,"Frederick William, Great Elector",,Y,Blaze de Bury 337-9;Godfrey 310-11.,,,,,,,,
correspondence,"Frederick William, Great Elector",11/??/1670,mid-Nov. 1670.,"Frederick William, Great Elector",Princess Elisabeth,,Y,Blaze de Bury 339-40.,,,,,,,,
correspondence,"Frederick William, Great Elector",11/20/1670,"Nov. 20, 1670.",Princess Elisabeth,"Frederick William, Great Elector",,Y,Blaze de Bury 341-3;Godfrey 311-12.,,,,,,,,
correspondence,"Frederick William, Great Elector",11/21/1670; 11/22/1670,"Nov. 21/22, 1670",Princess Elisabeth,"Frederick William, Great Elector",,Y,Godfrey 312.,,,,,,,,
correspondence,"Frederick William, Great Elector",12/??/1670,Dec. 1670,"Frederick William, Great Elector",Princess Elisabeth,,N,Blaze de Bury 348.,,,,,,,,
correspondence,"Frederick William, Great Elector",12/??/1670,Dec. 1670,Princess Elisabeth,"Frederick William, Great Elector",,N,Blaze de Bury 348.,,,,,,,,
correspondence,"Frederick William, Great Elector",01/06/1671,"Jan. 6, 1671.",Princess Elisabeth,"Frederick William, Great Elector",,N,Blaze de Bury 348.,,,,,,,,
correspondence,"Furley, Benjamin",07/06/1677; 07/16/1677,6/16 July 1677,Princess Elisabeth,"Furley, Benjamin",,Y,Shapiro 203-4; Godfrey 327,friendship; ,,,,,,,
correspondence,"Furley, Benjamin",03/??/1677; 04/??/1677; 05/??/1677,Spring 1677,"Furley, Benjamin",Princess Elisabeth,,N,Godfrey 327,,,,,,,,
correspondence,"Haak, Theodore",03/??/1665,"After March 6, 1665, the date of the first issue of Philosophical Transactions","Haak, Theodore",Princess Elisabeth,,N,Pal 258,,,,,,,,
correspondence,"Haak, Theodore",??/??/????,n.d.,Princess Elisabeth,"Haak, Theodore",,N,Pal 259,,,,,,,,
correspondence,"Haak, Theodore",??/??/????,n.d.,"Haak, Theodore",Princess Elisabeth,,Y excerpt,Pal 259,,,,,,,,
correspondence,"Haak, Theodore",??/??/????,n.d.,Princess Elisabeth,"Haak, Theodore",,Y excerpt,Pal 259,,,,,,,,
correspondence,"Huygens, Constanijn",03/09/1651,"March 9, 1651","Huygens, Constanijn",Princess Elisabeth,,Y excerpt,Worp 75,,,,,,,,
correspondence,"Huygens, Constanijn",??/??/1653,1653,"Huygens, Constanijn",Princess Elisabeth,,Y,Worp 193-4,,,,,,,,
correspondence,"Huygens, Constanijn",12/25/1654,"December 25, 1654?","Huygens, Constanijn",Princess Elisabeth,,Y excerpt,Worp 236,,,,,,,,
correspondence,"Leibniz, Gottfried Wilhelm",??/??/1678,1678,"Leibniz, Gottfried Wilhelm",Princess Elisabeth,,Y,"Adams, R.M. 121, 142, 192-3; Philosophical Essays (AG) 235-40 (See Aiton 91-2 for a summary of the letter)",,,,,,,,
correspondence,"Leibniz, Gottfried Wilhelm",01/13/1679,"13 January, 1679","Leibniz, Gottfried Wilhelm","Malebranche, Nicolas",,Y,Malebranche (t.18) 142-4; mention at 143; Carol Pal 264; Aiton 91.,,,,,,,,
correspondence,"Leibniz, Gottfried Wilhelm",04/26/1679,"April 26, 1679",S. Foucher,"Leibniz, Gottfried Wilhelm",Hanover,Y,Malebranche (t.18) 146,,,,,,,,
correspondence,"Leibniz, Gottfried Wilhelm",07/24/1679,"July 24, 1679",F. A. Hansen,"Leibniz, Gottfried Wilhelm",Hanover,"Y, excerpt",Malebranche (t.18) 161,,,,,,,,
correspondence,"Leibniz, Gottfried Wilhelm",03/04/1685,"March 4, 1685","Leibniz, Gottfried Wilhelm",E. Hessen-Rheinfels,Hanover,"Y, excerpt",Malebranche (t.18) 355,,,,,,,,
correspondence,"Louise Hollandine, Abbess of Maubuisson",10/??/1679,Late Oct. 1679,Princess Elisabeth,"Louise Hollandine, Abbess of Maubuisson",,Y,Foucher 213-14; Godfrey 347,,,,,,,,
correspondence,"Malebranche, Nicolas",01/13/1679,"Jan. 13, 1679","Leibniz, Gottfried Wilhelm","Malebranche, Nicolas",Hanover,Y,Malebranche (t.18) 142-4; mention at 143; Carol Pal 264.,,,,,,,,
correspondence,"Malebranche, Nicolas",??/??/????,n.d.,Unknown,Unknown,,N,Malebranche (t.19) 1035,,,,,,,,
correspondence,"Malebranche, Nicolas",??/??/????,n.d.,"Malebranche, Nicolas","Leibniz, Gottfried Wilhelm",,N,Malebranche (t.19) 1036,,,,,,,,
correspondence,"Penn, William",05/02/1677,"May 2, 1677",Princess Elisabeth,"Penn, William",Herford,Y,Godfrey 326-7;Blaze de Bury 374-5;Foucher 199;Shapiro 211,,"Barclay, Robert; Furly, Benjamin",,,,,,
correspondence,"Penn, William",??/??/1677,1677,"Penn, William",Princess Elisabeth,,Y,Shapiro 211-14,,"Charles Louis (Karl Ludwig, prince of Bohemia); ",,,,,,
correspondence,"Penn, William",09/04/1677; 09/14/1677,"September 4 or 14, 1677",Princess Elisabeth,"Penn, William",,Y,Shapiro 214,,,Apology for the True Christian Religion; ,,,,,
correspondence,"Penn, William",??/??/1677,1677,"Penn, William",Princess Elisabeth,"“a village near Worms"";Wesel",Y,Godfrey 328-9; Gummere 86-97,,,,,,,,
correspondence,"Penn, William",10/29/1677,"Oct. 29, 1677",Princess Elisabeth,"Penn, William",,Y,Blaze de Bury 380-1; Godfrey 329; Shapiro 216,,"Fox, George; Furly, Benjamin",,,,,,
correspondence,"Penn, William",10/??/1677,Before Nov. 1677,"Penn, William",Princess Elisabeth,Briel in the Island of Vaorne,Y,Blaze de Bury 384-5.,,,,,,,,
correspondence,"Penn, William",11/16/1677,"Nov. 16, 1677",Princess Elisabeth,"Penn, William",,Y,Blaze de Bury 385-6.,,,,,,,,
correspondence,"Penn, William",11/17/1680,17 November - near Elizabeth's death in 1680,Princess Elisabeth,"Penn, William",,Y,Godfrey 331; Shapiro 216,,,,,,,,
correspondence,Prince Rupert,??/??/1675,After 1674,Princess Elisabeth,Prince Rupert,,N,Blaze de Bury 307,,,,,,,,
correspondence,Prince Rupert,??/??/1665,1665,Princess Elisabeth,Prince Rupert,,Y,Godfrey 285;Foucher 185-6,,,,,,,,
correspondence,"Roe, Sir Thomas",??/??/1640; ??/??/1641; ??/??/1642; ??/??/1643; ??/??/1644; ??/??/1645; ??/??/1646; ??/??/1647; ??/??/1648; ??/??/1649,1640's,Princess Elisabeth,"Roe, Sir Thomas",the Hague,Y,Godfrey 145,,,,,,,,
correspondence,"Roe, Sir Thomas",08/20/1635; 08/30; 1635,"Aug. 20/30, 1635",John Dury,"Roe, Sir Thomas",The Hague,Y,Cal S P Dom 345,,,,,,,,
correspondence,"Roe, Sir Thomas",09/15/1635; 09/25; 1635,"Sep. 15/25, 1635",Queen Elizabeth,"Roe, Sir Thomas",Rhenen,Y,Cal S P Dom 380,,,,,,,,
correspondence,"Roe, Sir Thomas",10/18/1635; 10/38/1635,"Oct. 18/28, 1635",John Dury,"Roe, Sir Thomas",The Hague,Y,Cal S P Dom 436,,,,,,,,
correspondence,"Roe, Sir Thomas",11/02/1635; 11/12/1635,"Nov. 2/12, 1635",John Dury,"Roe, Sir Thomas",Amsterdam,Y,Cal S P Dom 460,,,,,,,,
correspondence,"Sorbiere, Samuel",06/16/1643,"June 15, 1643","Sorbiere, Samuel",Thomas Martel,,Y,Alexandrescu 11.,,,,,,,,
correspondence,"Sorbiere, Samuel",07/19/1643,"July 19, 1643","Sorbiere, Samuel",Samson Johnson,,N,Alexandrescu 14,,,,,,,,
correspondence,"Sorbiere, Samuel",08/27/1644,"Aug. 27, 1644",Samson Johnson,"Sorbiere, Samuel",,Y,Alexandrescu 17,,,,,,,,
correspondence,"Sorbiere, Samuel",06/03/1652,"June 3, 1652","Sorbiere, Samuel",Princess Elisabeth,,Y,Alexandrescu 18.,,,,,,,,
correspondence,Unknown,06/??/1643,"June, 1643",Princess Elisabeth,Unknown,Rhenen,Y,Godfrey 94,,,,,,,,
correspondence,Unknown,??/??/????,n.d.,Princess Elisabeth,Unknown,,Y excerpt,Godfrey 273,,,,,,,,
correspondence,Unknown,??/??/????,n.d.,Princess Elisabeth,Unknown,,Y excerpt,Godfrey 274,,,,,,,,
correspondence,"van Schurman, Anna Maria",03/01/1632,"March 1, 1632",Andre Rivet,"van Schurman, Anna Maria",,Y,van Schurman (Irwin ed 1998) 40-41,,,,,,,,
correspondence,"van Schurman, Anna Maria",09/07/1639,"Sep. 7, 1639","van Schurman, Anna Maria",Princess Elisabeth,Utrecht,Y,Van Schurman 249-255;Blaze de Bury 171;Irwin 57-60.,,,,,,,,
correspondence,"van Schurman, Anna Maria",01/26/1644,"Jan. 26, 1644","van Schurman, Anna Maria",Princess Elisabeth,Utrecht,Y,Van Schurman 266-269;Blaze de Bury 172-3;van Schurman (Irwin ed) 7 & 66-67.,,,,,,,,
correspondence,"van Schurman, Anna Maria",??/??/1671,After 1670,"van Schurman, Anna Maria",Princess Elisabeth,,N,Godfrey 306,,,,,,,,
correspondence,"van Schurman, Anna Maria",??/??/1673,in 1673,"van Schurman, Anna Maria",Unknown,,Y excerpt,Pal 52,,,,,,,,
